elapsed_s,x_unit,y_unit,radius_unit,radial_error_unit
5.75,442.28125,248.609375,151.27772618417137,1.277726184171371
5.75,441.6875,246.734375,151.36900099720097,1.3690009972009705
5.75,441.0625,245.109375,151.3658139050579,1.3658139050579052
5.844,440.40625,243.453125,151.3653332547718,1.365333254771798
5.844,438.34375,239.3125,151.0694072945032,1.0694072945032076
5.844,437.390625,237.53125,150.92557293067708,0.9255729306770775
5.859,436.453125,235.984375,150.7231089329246,0.723108932924589
5.937,435.34375,234.28125,150.4555906758702,0.4555906758702122
5.937,434.3125,232.796875,150.18690910334237,0.18690910334237287
5.937,433.1875,231.046875,149.97814375273362,-0.0218562472663848
5.937,432.109375,229.328125,149.82456700723768,-0.1754329927623246
6.234,431.203125,227.71875,149.79599163972355,-0.20400836027644687
6.234,430.078125,225.953125,149.67718029406237,-0.32281970593763276
6.234,429.125,224.3125,149.67252012727653,-0.32747987272347245
6.234,428.0625,222.71875,149.5740469059138,-0.4259530940861964
6.234,426.75,220.96875,149.3703483846861,-0.6296516153138896
6.234,425.171875,218.28125,149.48562604002475,-0.514373959975245
6.266,424.171875,216.71875,149.5139496588132,-0.4860503411867967
